,utterance,utterance_tokenized
32572,"Eh, they’re both good. I generally just go with, Monica’s drunk again.","['Eh', ',', 'they', '’', 're', 'both', 'good', '.', 'I', 'generally', 'just', 'go', 'with', ',', 'Monica', '’', 's', 'drunk', 'again', '.']"
7717,Noo! Oh no! No! God no! He should not get back together with her. I know that! You know that! Even Ross knows that! But that still doesn’t give us the right to erase his message!,"['Noo', '!', 'Oh', 'no', '!', 'No', '!', 'God', 'no', '!', 'He', 'should', 'not', 'get', 'back', 'together', 'with', 'her', '.', 'I', 'know', 'that', '!', 'You', 'know', 'that', '!', 'Even', 'Ross', 'knows', 'that', '!', 'But', 'that', 'still', 'doesn', '’', 't', 'give', 'us', 'the', 'right', 'to', 'erase', 'his', 'message', '!']"
20887,It’s moving.,"['It', '’', 's', 'moving', '.']"
9624,What? You never said anything about an audition!,"['What', '?', 'You', 'never', 'said', 'anything', 'about', 'an', 'audition', '!']"
46101,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.","['Oh', 'wait', ',', 'wait', ',', 'unless', 'you', 'happened', 'to', 'catch', 'the', 'Reruns', ""'"", 'production', 'of', 'Pinocchio', ',', 'at', 'the', 'little', 'theater', 'in', 'the', 'park', '.']"
43719,I don’t want to say.,"['I', 'don', '’', 't', 'want', 'to', 'say', '.']"
3014,Ennnh.,"['Ennnh', '.']"
25215,"Yeah but uh… Okay, okay look you guys know that Rachel and I slept together, but there’s something else.  Rachel’s pregnant.","['Yeah', 'but', 'uh…', 'Okay', ',', 'okay', 'look', 'you', 'guys', 'know', 'that', 'Rachel', 'and', 'I', 'slept', 'together', ',', 'but', 'there', '’', 's', 'something', 'else', '.', 'Rachel', '’', 's', 'pregnant', '.']"
47398,"Okay, good to see you again.","['Okay', ',', 'good', 'to', 'see', 'you', 'again', '.']"
4314,I’m sorry.,"['I', '’', 'm', 'sorry', '.']"
37137,"Well, that is usually what I would do. But I just never thought you’d be on the receiving end of it. How could you do this?!","['Well', ',', 'that', 'is', 'usually', 'what', 'I', 'would', 'do', '.', 'But', 'I', 'just', 'never', 'thought', 'you', '’', 'd', 'be', 'on', 'the', 'receiving', 'end', 'of', 'it', '.', 'How', 'could', 'you', 'do', 'this', '?', '!']"
27930,What is the matter with you?!,"['What', 'is', 'the', 'matter', 'with', 'you', '?', '!']"
38627,I want to keep one.,"['I', 'want', 'to', 'keep', 'one', '.']"
33874,What are you doing?,"['What', 'are', 'you', 'doing', '?']"
6258,It bodes well for me that speed impresses you.,"['It', 'bodes', 'well', 'for', 'me', 'that', 'speed', 'impresses', 'you', '.']"
44089,No!,"['No', '!']"
20201,"Oh no-no-no, not Dr. Burke. Dr. Burke is out of town. The-the on-call doctor will see me now.","['Oh', 'no-no-no', ',', 'not', 'Dr.', 'Burke', '.', 'Dr.', 'Burke', 'is', 'out', 'of', 'town', '.', 'The-the', 'on-call', 'doctor', 'will', 'see', 'me', 'now', '.']"
40584,"Eh, yeah, well ah, waitress at a coffee shop and cheer squad co-captain only took up so much room.","['Eh', ',', 'yeah', ',', 'well', 'ah', ',', 'waitress', 'at', 'a', 'coffee', 'shop', 'and', 'cheer', 'squad', 'co-captain', 'only', 'took', 'up', 'so', 'much', 'room', '.']"
53548,"Well, didn’t you just hear what I said?!","['Well', ',', 'didn', '’', 't', 'you', 'just', 'hear', 'what', 'I', 'said', '?', '!']"
39066,"Save it Red! Unless you wanna spend the night in the slammer, you apologize to the tree.","['Save', 'it', 'Red', '!', 'Unless', 'you', 'wan', 'na', 'spend', 'the', 'night', 'in', 'the', 'slammer', ',', 'you', 'apologize', 'to', 'the', 'tree', '.']"
37619,Get off!,"['Get', 'off', '!']"
16703,Hi you guys!,"['Hi', 'you', 'guys', '!']"
1303,"She sweat, wet. got it going like a turbo 'vette.","['She', 'sweat', ',', 'wet', '.', 'got', 'it', 'going', 'like', 'a', 'turbo', ""'vette"", '.']"
18287,"My God, I’m sorry! I’m sorry! I didn’t mean to do that! I wouldn’t do that!","['My', 'God', ',', 'I', '’', 'm', 'sorry', '!', 'I', '’', 'm', 'sorry', '!', 'I', 'didn', '’', 't', 'mean', 'to', 'do', 'that', '!', 'I', 'wouldn', '’', 't', 'do', 'that', '!']"
6949,Yeah. You’re right. Hey I-I can do that.,"['Yeah', '.', 'You', '’', 're', 'right', '.', 'Hey', 'I-I', 'can', 'do', 'that', '.']"
10693,Some days it's all I can think about.,"['Some', 'days', 'it', ""'s"", 'all', 'I', 'can', 'think', 'about', '.']"
8951,"Oh wait, I have the ten of spades! Here!","['Oh', 'wait', ',', 'I', 'have', 'the', 'ten', 'of', 'spades', '!', 'Here', '!']"
19808,"It was awful. To get out of going to dinner with Doug I told him that you and I split up. So then he took me to all these strip clubs and sleazy bars, and then when I wouldn’t give him my wedding ring, he threw a soda can at a bird!","['It', 'was', 'awful', '.', 'To', 'get', 'out', 'of', 'going', 'to', 'dinner', 'with', 'Doug', 'I', 'told', 'him', 'that', 'you', 'and', 'I', 'split', 'up', '.', 'So', 'then', 'he', 'took', 'me', 'to', 'all', 'these', 'strip', 'clubs', 'and', 'sleazy', 'bars', ',', 'and', 'then', 'when', 'I', 'wouldn', '’', 't', 'give', 'him', 'my', 'wedding', 'ring', ',', 'he', 'threw', 'a', 'soda', 'can', 'at', 'a', 'bird', '!']"
43360,You do?,"['You', 'do', '?']"
31115,"10 seconds, you need this or you lose the game.","['10', 'seconds', ',', 'you', 'need', 'this', 'or', 'you', 'lose', 'the', 'game', '.']"
48456,"I think he's been relaxing enough, thanks to you and Fireball.","['I', 'think', 'he', ""'s"", 'been', 'relaxing', 'enough', ',', 'thanks', 'to', 'you', 'and', 'Fireball', '.']"
9709,"Okay, here we go! Emma's first birthday cake... Well hey... well, blow out the candle. Come on Emma.","['Okay', ',', 'here', 'we', 'go', '!', 'Emma', ""'s"", 'first', 'birthday', 'cake', '...', 'Well', 'hey', '...', 'well', ',', 'blow', 'out', 'the', 'candle', '.', 'Come', 'on', 'Emma', '.']"
5957,"Yes, but there isn't always time!","['Yes', ',', 'but', 'there', 'is', ""n't"", 'always', 'time', '!']"
50987,"No, really you’re gonna freeze.","['No', ',', 'really', 'you', '’', 're', 'gon', 'na', 'freeze', '.']"
7091,We are! Help us!,"['We', 'are', '!', 'Help', 'us', '!']"
43411,"Excuse me, I wanted you to help, but you couldn’t move your arms because you were wearing three life jackets.","['Excuse', 'me', ',', 'I', 'wanted', 'you', 'to', 'help', ',', 'but', 'you', 'couldn', '’', 't', 'move', 'your', 'arms', 'because', 'you', 'were', 'wearing', 'three', 'life', 'jackets', '.']"
35426,Well and clearly not a minute sooner.,"['Well', 'and', 'clearly', 'not', 'a', 'minute', 'sooner', '.']"
33959,"Well, have fun!","['Well', ',', 'have', 'fun', '!']"
7309,Hiya doin' pumpkin?,"['Hiya', 'doin', ""'"", 'pumpkin', '?']"
45703,Chandler!!,"['Chandler', '!', '!']"
16778,Where do you think Mike really is?,"['Where', 'do', 'you', 'think', 'Mike', 'really', 'is', '?']"
48484,I don't believe they're brother and sister.,"['I', 'do', ""n't"", 'believe', 'they', ""'re"", 'brother', 'and', 'sister', '.']"
53424,That’s a good idea! I bet they have one of those wind machines! Y’know…,"['That', '’', 's', 'a', 'good', 'idea', '!', 'I', 'bet', 'they', 'have', 'one', 'of', 'those', 'wind', 'machines', '!', 'Y', '’', 'know…']"
43887,"You don't have to do that, I'll pay for myself. But just the fact that you want me to have fun with you guys - that's so sweet! Come here","['You', 'do', ""n't"", 'have', 'to', 'do', 'that', ',', 'I', ""'ll"", 'pay', 'for', 'myself', '.', 'But', 'just', 'the', 'fact', 'that', 'you', 'want', 'me', 'to', 'have', 'fun', 'with', 'you', 'guys', '-', 'that', ""'s"", 'so', 'sweet', '!', 'Come', 'here']"
27190,"Umm, uh, I was just telling the guys…","['Umm', ',', 'uh', ',', 'I', 'was', 'just', 'telling', 'the', 'guys…']"
46609,"Honey, you're taking this the wrong way. We think you're going to be a wonderful parent. It's just.. you're more the fun parent.","['Honey', ',', 'you', ""'re"", 'taking', 'this', 'the', 'wrong', 'way', '.', 'We', 'think', 'you', ""'re"", 'going', 'to', 'be', 'a', 'wonderful', 'parent', '.', 'It', ""'s"", 'just..', 'you', ""'re"", 'more', 'the', 'fun', 'parent', '.']"
223,"Ok people, we are back in business!  Oh God, we've missed you soo much!  Ok, go and get your hair and make-up done, and I'll take care of everything.","['Ok', 'people', ',', 'we', 'are', 'back', 'in', 'business', '!', 'Oh', 'God', ',', 'we', ""'ve"", 'missed', 'you', 'soo', 'much', '!', 'Ok', ',', 'go', 'and', 'get', 'your', 'hair', 'and', 'make-up', 'done', ',', 'and', 'I', ""'ll"", 'take', 'care', 'of', 'everything', '.']"
16940,"Wait a minute, the house was built on radioactive waste, and an ancient Indian burial ground? That would never happen.","['Wait', 'a', 'minute', ',', 'the', 'house', 'was', 'built', 'on', 'radioactive', 'waste', ',', 'and', 'an', 'ancient', 'Indian', 'burial', 'ground', '?', 'That', 'would', 'never', 'happen', '.']"
36101,Really?!,"['Really', '?', '!']"
